Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,OperatingSystems,Browser,Region,TrafficType,Month,VisitorType,Weekend,total_pages,avg_time_per_page,avg_time_per_product_page,avg_time_per_info_page,avg_time_per_admin_page,product_focus,info_focus,admin_focus,bounce_exit_ratio,bounce_exit_product,value_per_page,Revenue
3,142.5,0,0.0,48,1052.255952,0.004347826,0.013043478,0.0,0.0,1,8,6,11,Nov,Returning_Visitor,0,51.00001,23.426582700670057,21.921994432917824,0.0,47.49984166719444,0.9411762860438654,0.0,0.058823517877741587,0.3330779735485056,5.6710772778828e-05,0.0,0
6,437.3913043,2,235.55,83,2503.881781,0.002197802,0.004916136,2.086218493,0.0,2,2,3,2,Mar,Returning_Visitor,0,91.00001,34.910139958226374,30.167246738885936,117.77441112794436,72.89842921928464,0.9120878118584822,0.021978019562854993,0.06593405868856497,0.44615130398348735,1.0804693533071999e-05,0.022925475425771932,1
1,41.125,0,0.0,126,4310.004668,0.000687831,0.012822843,3.451072113,0.0,2,2,2,2,Nov,Returning_Visitor,0,127.00001,34.26086082985347,34.2063835391759,0.0,41.12458875411246,0.9921259061318184,0.0,0.007874015128030305,0.05359926868894133,8.819948923533e-06,0.027173794025685507,0
2,141.0,0,0.0,10,606.6666667,0.008333333,0.026388889,36.672294,0.0,2,5,7,4,Aug,Returning_Visitor,0,12.00001,62.3055036370803,60.666606003393994,0.0,70.4996475017625,0.8333326388894676,0.0,0.16666652777789354,0.31566983746929655,0.00021990739953703698,3.0560219533150392,0
18,608.14,6,733.8,168,4948.398759,0.006631763,0.013527508,10.15064372,0.0,2,2,3,1,Aug,Returning_Visitor,1,192.00001,32.762179330094824,29.454752764598048,122.29979616700639,33.785536785812894,0.8749999544270857,0.031249998372395917,0.09374999511718775,0.48988063386555336,8.9711227036604e-05,0.05286793328812847,0
1,22.0,0,0.0,9,415.25,0.033333333,0.048148148,0.0,0.0,3,3,1,1,Mar,Returning_Visitor,0,10.00001,43.72495627504372,46.13883762351375,0.0,21.999780002199977,0.8999991000009,0.0,0.0999999000001,0.6921639303903463,0.001604938250617284,0.0,0
0,0.0,0,0.0,14,186.9333333,0.042857143,0.071428571,0.0,0.0,2,2,3,4,May,Returning_Visitor,0,14.00001,13.352371412591848,13.352371412591848,0.0,0.0,0.9999992857147959,0.0,0.0,0.5999160173570662,0.003061224481632653,0.0,0
0,0.0,0,0.0,12,198.0,0.016666667,0.075,0.0,0.0,2,2,3,2,Mar,Returning_Visitor,0,12.00001,16.49998625001146,16.49998625001146,0.0,0.0,0.9999991666673611,0.0,0.0,0.22219260098653515,0.001250000025,0.0,0
8,149.5,0,0.0,55,2598.991667,0.003278689,0.008196721,48.72995628,0.0,2,4,8,2,May,Returning_Visitor,1,63.00001,43.62684493224683,47.25438535374811,0.0,18.6874766406542,0.8730157344419469,0.0,0.12698410682791955,0.3995126677268546,2.6874498978769003e-05,0.7734912467474212,0
6,140.3333333,0,0.0,9,88.95,0.0,0.004761905,0.0,0.0,3,2,2,3,May,New_Visitor,0,15.00001,15.285545362969756,9.883322351864054,0.0,23.38884990191683,0.5999996000002666,0.0,0.39999973333351113,0.0,0.0,0.0,0
0,0.0,0,0.0,29,631.775,0.021428571,0.05042517,0.0,0.0,2,2,1,1,Nov,Returning_Visitor,0,29.00001,21.785337315400927,21.785337315400927,0.0,0.0,0.9999996551725328,0.0,0.0,0.4248735753245206,0.00108053933553207,0.0,0
4,101.75,2,65.5,37,1307.472222,0.011149826,0.027235772,0.0,0.0,3,2,3,2,Nov,Returning_Visitor,0,43.00001,34.29585765212613,35.337077530519586,32.749836250818745,25.437436406408985,0.8604649161709497,0.0465116170903216,0.0930232341806432,0.4092314213008903,0.000303674118775672,0.0,0
0,0.0,0,0.0,6,223.3333333,0.0,0.008333333,0.0,0.0,2,2,1,2,May,Returning_Visitor,0,6.00001,37.22216017973304,37.22216017973304,0.0,0.0,0.9999983333361112,0.0,0.0,0.0,0.0,0.0,0
2,54.5,0,0.0,5,66.5,0.0,0.028571429,0.0,0.0,8,13,9,20,Dec,Other,0,7.00001,17.285689591872014,13.2999734000532,0.0,27.249863750681246,0.7142846938790088,0.0,0.2857138775516035,0.0,0.0,0.0,0
0,0.0,0,0.0,3,222.0,0.133333333,0.133333333,0.0,0.0,1,1,3,3,May,Returning_Visitor,0,3.00001,73.99975333415556,73.99975333415556,0.0,0.0,0.9999966666777778,0.0,0.0,0.9999250056243906,0.01777777768888889,0.0,0
0,0.0,0,0.0,17,559.75,0.011764706,0.019607843,0.0,0.0,1,1,3,3,Nov,Returning_Visitor,0,17.00001,32.92645121973458,32.92645121973458,0.0,0.0,0.9999994117650519,0.0,0.0,0.5996941661731109,0.000230680508189158,0.0,0
0,0.0,0,0.0,1,11.0,0.0,0.1,0.0,0.0,2,2,1,10,Dec,Other,0,1.00001,10.999890001099988,10.999890001099988,0.0,0.0,0.9999900000999989,0.0,0.0,0.0,0.0,0.0,0
